frame,DetObj#,x,y,z,v
15,0,-0.3276229798793793,0.9564940929412842,0.020223651081323624,0.3158400058746338
15,1,-0.29797059297561646,0.8991554975509644,0.037909891456365585,0.3158400058746338
15,2,-0.12150989472866058,2.0227341651916504,0.671521008014679,-4.93779993057251
22,0,0.5000623464584351,1.6757404804229736,0.9781851768493652,6.25324010848999
26,0,-1.201467514038086,1.794425368309021,0.7156389355659485,-3.3163201808929443
26,1,0.006171715445816517,0.3085446357727051,0.2297709584236145,0.28700000047683716
26,2,1.0730637311935425,1.3544437885284424,0.0,0.7459200024604797
26,3,-0.07166089117527008,1.7905666828155518,0.0,0.0008399999933317304
26,4,0.06539089232683182,0.6517277956008911,0.0,2.569000005722046
26,5,-1.5103281736373901,5.06120491027832,0.0,4.854640007019043
31,0,0.5126991271972656,0.5394269227981567,2.3169119358062744,4.315360069274902
33,0,-1.115336537361145,1.7789891958236694,0.6958212852478027,-1.579200029373169
47,0,2.1191372871398926,3.0975348949432373,0.1126256063580513,6.788880348205566
53,0,-0.3172086477279663,1.025449514389038,0.04295854642987251,0.0
53,1,-0.3069384694099426,1.0285701751708984,0.04295854642987251,0.0
53,2,1.6723847389221191,1.7595688104629517,0.17020592093467712,4.315360069274902
53,3,-1.9143778085708618,2.18270206451416,0.4387877285480499,4.581079959869385
56,0,-1.2532520294189453,1.8318735361099243,0.7355352640151978,-3.3163201808929443
77,0,-1.5941320657730103,1.9314943552017212,2.9089787006378174,1.3798400163650513
81,0,1.8838340044021606,2.7535927295684814,1.9102556705474854,4.702320098876953
85,0,0.0032143036369234324,0.3214196562767029,0.006429571192711592,0.21615999937057495
85,1,0.0032143036369234324,0.3214196562767029,0.006429571192711592,0.21615999937057495
85,2,0.0032143036369234324,0.3214196562767029,0.006429571192711592,0.21615999937057495
95,0,0.0,3.848750114440918,0.0,-2.936079978942871
95,1,1.9542945623397827,2.8565847873687744,1.2634069919586182,-3.6582000255584717
95,2,-0.34647807478904724,0.9491809010505676,0.040439214557409286,0.0
95,3,-0.3148662745952606,0.8901143670082092,0.08520486950874329,0.0
95,4,-0.3369691073894501,0.9525981545448303,0.040439214557409286,0.0
95,5,-0.32742640376091003,0.9559201598167419,0.040439214557409286,0.0
95,6,0.0,4.073000431060791,0.0,-8.253000259399414
106,0,2.2602999210357666,3.1660900115966797,1.3324648141860962,0.0
117,0,2.026237964630127,3.026243209838867,1.3294148445129395,-9.120160102844238
117,1,0.905838668346405,0.7337106466293335,0.3101034462451935,-5.050640106201172
117,2,0.020523499697446823,0.5128138661384583,0.0051324148662388325,0.4309200048446655
127,0,2.1690115928649902,3.170435667037964,0.3466615676879883,4.1661200523376465
127,1,0.013487177900969982,0.4494377374649048,0.0179952010512352,0.3600800037384033
129,0,0.0,4.7275004386901855,0.0,0.0
139,0,-0.34142401814460754,0.8802692890167236,0.08520486950874329,-0.3158400058746338
139,1,-0.3237515091896057,0.886921226978302,0.08520486950874329,-0.3158400058746338
139,2,-0.2943301498889923,0.8320595622062683,0.061881937086582184,-0.3158400058746338
139,3,-0.3148662745952606,0.8901143670082092,0.08520486950874329,-0.3158400058746338
139,4,-0.2859949469566345,0.8349612355232239,0.061881937086582184,-0.3158400058746338
139,5,-0.30594950914382935,0.893218457698822,0.08520486950874329,-0.3158400058746338
139,6,1.1785627603530884,3.33174991607666,2.070664644241333,0.01735999993979931
142,0,-1.4664875268936157,4.281404972076416,0.09052396565675735,-1.40447998046875
157,0,-0.25995978713035583,0.3719455599784851,0.14536044001579285,-4.987080097198486
159,0,0.0,1.346000075340271,0.0,1.0617600679397583
159,1,0.0,0.7757500410079956,0.0,1.1326000690460205
159,2,0.0,1.1360000371932983,0.0,0.9909200072288513
159,3,0.0,1.3672500848770142,0.0,1.0617600679397583
159,4,0.0,0.7772500514984131,0.0,1.1326000690460205
162,0,0.46295884251594543,2.407233953475952,0.9226942658424377,-4.497920036315918
165,0,0.5442513823509216,0.5285849571228027,0.07612298429012299,-4.903360366821289
165,1,-2.197693347930908,0.7793746590614319,2.2162604331970215,-4.782120227813721
165,2,0.8493876457214355,0.8416059017181396,1.4762420654296875,-4.924920082092285
165,3,0.013487177900969982,0.4494377374649048,0.0179952010512352,0.3600800037384033
165,4,2.041414260864258,2.9839272499084473,1.319727897644043,-2.936079978942871
168,0,-0.2741400897502899,0.7067959308624268,0.01516398973762989,-0.3158400058746338
168,1,-0.2970077097415924,0.7657538652420044,0.016428904607892036,-0.3158400058746338
168,2,1.0566247701644897,1.803369402885437,0.14654776453971863,-5.051199913024902
172,0,3.6744441986083984,2.206550121307373,0.1286206990480423,0.0005600000149570405
172,1,0.01516398973762989,0.7580984234809875,0.0,0.3158400058746338
172,2,-0.20320172607898712,0.7958024740219116,0.016428904607892036,0.3158400058746338
172,3,-0.2188469022512436,0.8570739030838013,0.01769382134079933,0.3158400058746338
172,4,-0.15019802749156952,0.6137629151344299,0.012639157474040985,-0.3158400058746338
172,5,-0.1652297079563141,0.6751877069473267,0.013904073275625706,-0.3158400058746338
175,0,0.43058696389198303,3.8986260890960693,2.193990707397461,4.480000019073486
175,1,-1.3063536882400513,2.335448980331421,1.7152204513549805,-4.753000259399414
181,0,0.347055584192276,1.0472742319107056,0.21218298375606537,1.0063199996948242
181,1,0.0,1.0180000066757202,0.0,1.0617600679397583
181,2,0.02554074302315712,0.31857794523239136,0.015993334352970123,0.2886800169944763
181,3,0.0,0.6659666895866394,0.006659889128059149,4.802560329437256
181,4,0.0,2.293750047683716,0.0,0.7168000340461731
181,5,-2.1415655612945557,0.711585283279419,0.4106490910053253,0.7327600121498108
181,6,0.020523499697446823,0.5128138661384583,0.0051324148662388325,0.4309200048446655
187,0,-0.9188921451568604,1.0476864576339722,0.32629284262657166,-4.848480224609375
187,1,-2.796992540359497,1.5674479007720947,2.337726593017578,-4.801720142364502
190,0,-2.0896778106689453,1.226614236831665,0.24311932921409607,-3.155320167541504
190,1,-2.8040428161621094,1.645937442779541,0.3262306749820709,-3.585400104522705
190,2,-2.249457836151123,1.3204030990600586,0.3145139217376709,-3.155320167541504
190,3,-1.5173627138137817,2.5897231101989746,0.36191993951797485,-3.4020001888275146
193,0,-1.237113356590271,1.7700384855270386,0.7156389355659485,4.737600326538086
193,1,-0.0328446701169014,0.8206788301467896,0.016428904607892036,-0.7896000146865845
195,0,1.9465687274932861,2.6144447326660156,2.4268531799316406,-1.4658000469207764
195,1,0.013487177900969982,0.4494377374649048,0.0179952010512352,0.3600800037384033
195,2,2.041414260864258,2.9839272499084473,1.319727897644043,-2.936079978942871
202,0,0.0,0.3616875112056732,0.49523499608039856,0.8492400050163269
